Sensor,Recording date UTC,Recording start time,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
0,16.03.2021,15:30:14.433,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Unclassified,50.0,30.0,0.0,0.0,0,0
0,16.03.2021,15:30:14.433,babelia 6164137243739591,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Unclassified,50.0,30.0,0.0,0.0,0,0
Eye Tracker,16.03.2021,15:30:14.433,0,924.0,448.0,751.0,485.0,1097.0,412.0,"-0,03961","0,18982","-0,98102","0,00810","0,16616","-0,98607",0,0,Valid,Valid,"229,2","20,7","578,3","295,9","14,6","582,1","205,8","132,6","300,7","112,7","0,4783","0,4150","0,3742","0,4486","0,5825","0,3813",1080.0,Unclassified,50.0,30.0,0.0,0.0,0,0
Eye Tracker,16.03.2021,15:30:14.433,0,919.0,440.0,743.0,470.0,1096.0,410.0,"-0,04319","0,18305","-0,98216","0,00757","0,16534","-0,98621",0,0,Valid,Valid,"229,1","20,7","578,3","295,8","14,6","582,1","203,7","128,5","300,3","112,2","0,4756","0,4072","0,3695","0,4347","0,5817","0,3797",1080.0,Unclassified,50.0,30.0,0.0,0.0,0,0
Eye Tracker,16.03.2021,15:30:14.433,0,916.0,438.0,739.0,468.0,1093.0,409.0,"-0,04495","0,18239","-0,98220","0,00635","0,16472","-0,98632","5,13","5,12",Valid,Valid,"229,1","20,6","578,4","295,8","14,6","582,0","202,6","128,0","299,6","111,8","0,4737","0,4058","0,3672","0,4332","0,5801","0,3784",1080.0,Saccade,17.0,47.0,0.0,0.0,0,0
Eye Tracker,16.03.2021,15:30:14.433,0,933.0,420.0,746.0,466.0,1120.0,375.0,"-0,04160","0,18160","-0,98249","0,01882","0,14923","-0,98862",0,0,Valid,Valid,"229,1","20,6","578,5","295,8","14,7","581,9","204,6","127,5","306,9","102,5","0,4838","0,3892","0,3715","0,4315","0,5961","0,3469",1080.0,Saccade,17.0,47.0,0.0,0.0,0,0
Eye Tracker,16.03.2021,15:30:14.433,0,936.0,422.0,753.0,473.0,1120.0,370.0,"-0,03865","0,18500","-0,98198","0,01911","0,14724","-0,98892",0,0,Valid,Valid,"229,0","20,5","578,6","295,7","14,8","581,8","206,3","129,5","307,0","101,4","0,4858","0,3906","0,3752","0,4383","0,5963","0,3430",1080.0,Unclassified,17.0,31.0,0.0,0.0,0,0
Eye Tracker,16.03.2021,15:30:14.433,0,936.0,421.0,753.0,471.0,1120.0,370.0,"-0,03866","0,18397","-0,98217","0,01913","0,14718","-0,98892","5,14","5,09",Valid,Valid,"229,0","20,4","578,8","295,7","14,8","581,7","206,2","128,8","307,0","101,4","0,4857","0,3894","0,3751","0,4359","0,5963","0,3430",1080.0,Unclassified,17.0,31.0,0.0,0.0,0,0
Eye Tracker,16.03.2021,15:30:14.433,0,921.0,431.0,745.0,472.0,1098.0,390.0,"-0,04203","0,18475","-0,98189","0,00866","0,15579","-0,98775",0,0,Valid,Valid,"229,0","20,3","578,9","295,7","14,9","581,5","204,2","129,3","300,8","106,6","0,4768","0,3990","0,3707","0,4374","0,5828","0,3607",1080.0,Saccade,8.0,48.0,0.0,0.0,0,0
Eye Tracker,16.03.2021,15:30:14.433,0,919.0,433.0,740.0,467.0,1098.0,399.0,"-0,04452","0,18237","-0,98222","0,00910","0,15991","-0,98709",0,0,Valid,Valid,"229,0","20,2","579,1","295,7","15,0","581,3","202,7","127,8","301,0","109,1","0,4753","0,4008","0,3674","0,4323","0,5832","0,3692",1080.0,Fixation,183.0,18.0,921.0,437.0,"0,4764","0,4044"
Eye Tracker,16.03.2021,15:30:14.433,0,918.0,436.0,741.0,468.0,1094.0,404.0,"-0,04392","0,18320","-0,98209","0,00719","0,16223","-0,98673","5,14","5,16",Valid,Valid,"229,0","20,1","579,4","295,7","15,0","581,2","203,1","128,2","299,9","110,6","0,4745","0,4039","0,3681","0,4337","0,5808","0,3741",1080.0,Fixation,183.0,18.0,921.0,437.0,"0,4764","0,4044"
Eye Tracker,16.03.2021,15:30:14.433,0,920.0,434.0,740.0,462.0,1099.0,406.0,"-0,04416","0,18032","-0,98262","0,00948","0,16300","-0,98658",0,0,Valid,Valid,"229,0","20,0","579,6","295,7","15,1","581,1","202,9","126,4","301,3","111,1","0,4758","0,4017","0,3679","0,4276","0,5838","0,3758",1080.0,Fixation,183.0,18.0,921.0,437.0,"0,4764","0,4044"
Eye Tracker,16.03.2021,15:30:14.433,0,927.0,426.0,740.0,462.0,1114.0,390.0,"-0,04422","0,18047","-0,98259","0,01624","0,15598","-0,98763",0,0,Valid,Valid,"229,0","19,9","579,8","295,6","15,1","581,1","202,9","126,4","305,2","106,8","0,4801","0,3945","0,3677","0,4276","0,5924","0,3614",1080.0,Fixation,183.0,18.0,921.0,437.0,"0,4764","0,4044"
Eye Tracker,16.03.2021,15:30:14.433,0,932.0,424.0,742.0,461.0,1122.0,387.0,"-0,04324","0,18010","-0,98270","0,01992","0,15462","-0,98777","5,15","5,01",Valid,Valid,"228,9","19,7","580,1","295,7","15,0","581,1","203,4","126,1","307,4","106,0","0,4831","0,3926","0,3689","0,4265","0,5973","0,3586",1080.0,Fixation,183.0,18.0,921.0,437.0,"0,4764","0,4044"
